id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_other,edu_status,edu_yr,income,political,join_party,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9
1488,4,2,29,83,126,2015/7/21 17:55,1,1973,1,1,1,4,,4.0,1986.0,14000,4,2012.0,120.0,0,1,0,0,0,0,0,0,0,,168,145,2,4,5,1,1.0,5,5,1,5,1,1,1,5,4,1,5,4,1,5,2,5,5,5,4,4,4,2.0,2.0,1,1,2,1,3,1,1,3.0,4.0,1.0,2.0,1,1,2,2,12000.0,1,3,1,1,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1996.0,1971.0,1996.0,4.0,1.0,1.0,0.0,3.0,,,1953,3,1,2,-2,1,1,2,2,1,5,2,20000.0,5,3,3,3,5,5,3,3,3,-8,-8,-8,1,5,80,40,60,60,60.0,60,60,60,70
4369,3,1,31,88,133,2015/8/19 19:24,2,1976,1,0,8,12,,4.0,2006.0,30000,4,2008.0,96.0,0,1,0,0,0,0,0,0,0,,163,110,3,5,2,2,3.0,2,2,1,1,5,1,5,5,5,1,5,4,4,5,5,5,5,1,1,4,5,,,1,2,5,5,5,6,1,3.0,18.0,1.0,2.0,1,1,-8,-8,70000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,0,1,1.0,3,2000.0,1977.0,2000.0,13.0,4.0,2.0,40000.0,1.0,3.0,1.0,1949,7,1,1,1949,3,1,15,3,2,4,3,70000.0,4,3,3,3,4,4,2,4,3,3,4,3,2,4,50,50,60,60,60.0,60,70,70,70
4872,5,2,3,6,13,2015/9/26 16:29,1,1974,1,0,2,4,,2.0,1989.0,40000,1,,98.0,0,1,0,0,0,0,0,0,0,,166,105,5,5,5,1,1.0,1,2,3,4,1,3,2,5,4,4,4,4,4,4,4,3,5,5,3,3,3,2.0,2.0,6,4,5,1,7,1,1,3.0,8.0,1.0,3.0,1,-1,-1,-1,30000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,,1,1,2.0,3,1998.0,1970.0,1998.0,4.0,1.0,1.0,8000.0,5.0,,,1940,3,1,2,1936,3,1,2,2,2,4,3,50000.0,4,2,4,3,3,3,3,3,3,2,4,2,1,5,70,70,70,70,70.0,70,70,70,70
5096,4,1,11,30,53,2015/7/15 19:37,1,1953,1,1,1,6,,4.0,1972.0,0,4,1986.0,200.0,0,1,0,0,0,0,0,0,0,,174,130,4,5,5,2,2.0,4,4,1,5,1,1,1,5,4,1,5,4,4,1,1,5,5,5,3,4,5,1.0,7.0,1,1,3,6,-8,8,1,9.0,40.0,1.0,2.0,1,1,2,2,-3.0,2,3,-3,2,0,1,0,0,0,0,0,0,0,,-8,-8,-8.0,3,-3.0,1954.0,-3.0,4.0,1.0,2.0,-3.0,5.0,,,1931,-8,1,-8,-2,-8,1,-8,2,2,4,3,-3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,20,20,20,20.0,20,20,20,20
6826,3,1,21,64,101,2015/7/15 8:17,1,1997,1,1,1,6,,4.0,2015.0,0,2,,50.0,0,0,0,0,0,0,0,0,1,,174,112,5,4,3,1,2.0,2,4,1,5,5,1,1,5,3,3,5,4,2,1,4,5,5,1,4,3,2,2.0,2.0,2,3,3,5,5,3,5,,,,,1,2,2,2,10000.0,2,1,1,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1974,4,1,16,1975,4,1,3,-8,2,-8,-8,-3.0,3,3,3,3,5,-8,2,3,3,3,-8,3,3,4,70,59,60,60,70.0,70,70,70,70
966,3,1,22,65,104,2015/7/6 19:48,2,1971,1,1,1,10,,4.0,2000.0,20000,1,,65.0,0,1,0,0,0,0,0,0,0,,160,110,4,4,4,2,2.0,3,3,2,5,4,3,1,4,3,3,4,4,3,1,3,4,4,1,2,4,3,6.0,3.0,2,2,4,4,6,3,1,3.0,20.0,1.0,3.0,1,1,1,2,35000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1996.0,1971.0,1996.0,6.0,1.0,2.0,20000.0,1.0,3.0,1.0,1931,1,1,2,1932,1,1,2,3,2,4,3,100000.0,3,3,3,3,5,4,3,4,3,4,-8,4,1,4,60,60,70,50,50.0,50,60,60,40
7874,4,1,7,18,34,2015/8/1 10:42,1,1968,1,1,1,7,,4.0,1987.0,20000,1,,37.0,0,0,1,0,0,0,0,0,0,,170,140,5,5,5,5,2.0,2,2,1,4,5,1,2,3,3,4,4,4,4,3,4,5,5,1,2,5,4,6.0,5.0,2,4,2,3,3,5,1,3.0,30.0,1.0,3.0,2,2,2,2,40000.0,3,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,1.0,3,1994.0,1969.0,1994.0,6.0,1.0,5.0,20000.0,1.0,3.0,1.0,1931,1,1,1,1932,1,1,16,2,3,3,3,80000.0,3,3,3,3,4,3,3,4,3,3,-8,3,2,3,60,60,60,60,30.0,30,20,60,60
7136,4,2,2,4,11,2015/7/31 9:16,1,1987,1,1,1,4,,4.0,2002.0,3000,2,,100.0,0,1,0,0,1,0,0,0,0,,160,125,1,3,3,1,1.0,1,1,2,4,2,2,1,5,3,5,5,4,3,2,5,5,5,3,3,2,1,2.0,2.0,2,4,5,3,6,2,1,5.0,3.0,2.0,3.0,1,2,2,2,9000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1964,4,1,2,1964,3,1,2,2,1,3,2,10000.0,4,4,4,4,4,4,3,4,4,3,-8,3,2,5,90,90,70,75,60.0,85,90,60,90
6038,5,2,23,68,108,2015/7/8 7:01,2,1944,1,1,1,4,,4.0,1962.0,42800,1,,90.0,0,0,0,1,0,0,0,0,0,,160,100,4,2,4,2,1.0,3,2,2,5,1,1,1,5,4,2,3,4,4,4,3,5,5,5,3,4,2,1.0,6.0,2,4,5,5,5,5,5,,,,,1,1,2,2,70000.0,4,4,1,2,0,1,0,0,0,0,0,0,0,,2,2,0.0,7,1963.0,,,,,,,,,,1905,1,1,2,1905,1,1,2,2,1,4,1,40000.0,5,4,5,5,5,4,3,4,4,4,-8,5,2,1,50,50,50,60,40.0,70,60,50,50
6072,4,1,16,44,75,2015/7/26 17:34,2,1963,1,1,1,12,,4.0,1985.0,50000,1,,120.0,0,0,1,0,0,0,0,0,0,,158,115,4,4,4,2,1.0,5,5,4,5,5,5,1,4,3,1,4,4,4,1,4,4,5,5,5,3,5,6.0,6.0,1,2,4,2,4,2,1,3.0,31.0,1.0,2.0,1,1,2,2,150000.0,2,3,1,1,0,0,1,0,0,0,0,0,0,,0,1,0.0,3,2000.0,1963.0,2000.0,10.0,1.0,2.0,100000.0,1.0,3.0,1.0,-2,10,4,1,-2,10,1,1,2,2,4,2,300000.0,3,3,3,3,4,4,3,4,3,3,3,3,1,4,60,60,50,60,60.0,60,70,50,60
1666,4,1,24,71,111,2015/7/29 17:41,1,1969,1,1,4,10,,4.0,1995.0,30000,1,,180.0,0,1,0,0,0,0,0,0,0,,161,100,3,4,4,2,1.0,5,5,2,4,5,4,3,5,2,1,2,4,3,2,3,5,5,1,3,3,5,6.0,6.0,1,2,7,6,8,7,1,3.0,28.0,1.0,2.0,1,1,2,2,60000.0,1,4,3,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1997.0,1971.0,1997.0,-8.0,1.0,2.0,30000.0,1.0,5.0,1.0,-2,6,4,4,-2,1,1,4,2,-8,2,4,72000.0,4,4,-8,-8,3,3,-8,4,4,4,-8,-8,3,5,60,55,-2,55,55.0,55,55,55,60
4520,3,1,1,1,4,2015/9/24 16:37,2,1974,1,1,1,11,,1.0,1998.0,110000,1,,77.0,0,1,1,0,0,0,0,0,0,,161,114,4,4,4,2,1.0,3,3,3,4,5,3,3,3,3,4,5,4,3,4,3,5,5,5,2,2,2,3.0,3.0,1,4,8,6,9,8,1,3.0,20.0,1.0,4.0,1,1,1,1,300000.0,3,4,1,1,0,0,1,0,0,0,0,0,0,,1,0,1.0,3,2001.0,1974.0,2001.0,13.0,4.0,2.0,200000.0,1.0,3.0,1.0,1952,9,1,1,1952,4,1,9,2,2,3,2,150000.0,3,3,3,3,4,4,3,3,1,1,1,1,1,3,65,65,65,65,65.0,65,65,65,65
1794,4,1,31,87,132,2015/8/23 8:43,1,1939,1,0,7,3,,2.0,,14400,1,,40.0,0,0,0,0,0,0,0,0,1,,168,110,2,1,1,5,2.0,2,1,3,5,1,1,1,5,1,3,5,4,5,5,5,5,5,5,2,5,2,7.0,7.0,1,5,5,3,-8,-8,5,,,,,1,1,-8,-8,14400.0,2,3,1,2,0,1,0,0,0,0,0,0,0,,5,2,0.0,3,1958.0,1938.0,1958.0,3.0,1.0,5.0,0.0,5.0,,,-2,2,1,1,-2,-8,1,15,2,1,4,2,14000.0,4,4,2,2,2,2,1,2,2,2,2,2,1,1,80,90,90,90,90.0,90,90,90,90
5039,4,1,31,87,132,2015/8/25 17:13,2,1979,1,0,1,11,,4.0,2009.0,100000,1,,89.0,0,1,0,0,0,0,0,0,0,,160,140,3,5,5,2,3.0,2,2,2,3,5,1,2,3,3,2,4,4,4,3,3,5,5,1,2,3,3,4.0,4.0,1,4,3,1,3,1,1,3.0,20.0,1.0,2.0,1,1,2,1,200000.0,2,2,2,1,0,0,1,1,1,0,0,0,0,,0,0,,3,2004.0,1979.0,2004.0,11.0,4.0,2.0,100000.0,1.0,7.0,2.0,-2,4,1,1,-2,4,1,15,2,2,4,2,300000.0,4,2,2,2,5,4,3,3,2,3,3,3,2,3,70,60,60,60,60.0,60,70,70,70
5474,4,2,28,81,122,2015/8/1 16:10,1,1950,1,1,1,1,,,,10000,1,,130.0,0,1,0,0,0,0,0,0,0,,167,110,4,4,4,1,1.0,1,1,1,2,1,1,5,5,5,5,4,4,4,5,5,5,5,5,2,1,1,6.0,6.0,1,4,3,3,4,3,3,,,,,1,1,2,2,15000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,0,2,0.0,3,1978.0,1955.0,1978.0,1.0,1.0,1.0,5000.0,3.0,,,1929,1,1,2,1933,1,1,2,3,2,3,3,30000.0,4,4,5,5,5,5,5,4,4,5,4,5,4,5,85,86,82,88,82.0,78,84,82,82
4032,4,2,6,17,33,2015/8/4 12:35,1,1951,1,1,1,1,,,,0,1,,150.0,0,1,0,0,0,0,0,0,0,,168,130,2,3,4,1,1.0,1,1,1,4,1,1,1,5,5,5,5,4,4,5,5,5,5,5,3,3,1,2.0,3.0,3,4,2,2,2,2,3,,,,,1,1,2,2,10000.0,5,2,1,2,0,1,0,0,0,0,0,0,0,,0,2,0.0,3,1968.0,1954.0,1968.0,3.0,1.0,1.0,0.0,3.0,,,-2,1,1,16,-2,1,1,16,2,2,4,2,10000.0,2,2,2,2,2,2,2,2,2,2,2,2,2,5,100,100,100,100,100.0,100,100,100,100
4317,1,2,23,68,108,2015/10/3 17:03,2,1967,1,1,1,3,,2.0,,10000,1,,150.0,0,0,1,0,0,0,0,0,0,,150,120,1,2,2,1,1.0,1,1,1,2,1,1,4,5,5,5,5,4,5,5,5,5,5,5,4,2,1,1.0,5.0,1,2,1,1,3,3,3,,,,,1,1,2,2,20000.0,2,1,1,2,0,1,0,0,0,0,0,0,0,,1,1,0.0,3,1990.0,1964.0,1990.0,4.0,1.0,1.0,10000.0,2.0,,,1936,-8,1,1,1935,2,1,2,3,1,4,1,100000.0,2,2,4,2,4,1,2,2,2,2,-8,2,1,5,100,100,100,100,100.0,100,50,-2,80
7731,4,1,16,44,75,2015/7/26 10:46,2,1965,1,1,1,4,,4.0,1982.0,7000,1,,400.0,0,1,0,0,0,0,0,0,0,,158,128,3,5,5,1,1.0,1,1,1,5,1,1,1,5,3,5,5,3,4,5,2,5,5,5,4,3,2,1.0,3.0,1,4,5,3,5,5,5,,,,,1,1,2,2,80000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,,1,1,0.0,3,1986.0,1965.0,1986.0,4.0,1.0,1.0,40000.0,1.0,5.0,1.0,1935,1,1,8,1937,1,1,15,2,2,3,2,20000.0,4,4,4,4,5,4,4,4,4,4,-8,-8,2,5,80,80,100,90,90.0,90,80,90,80
6373,4,1,18,55,89,2015/7/25 10:15,2,1946,1,1,1,1,,,,720,1,,50.0,0,1,0,0,0,0,0,0,0,,156,116,4,4,4,1,1.0,1,1,1,5,1,1,1,4,2,5,5,4,4,3,5,5,5,5,4,4,1,1.0,1.0,2,4,5,4,6,4,4,,,,,1,1,2,2,26000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,,3,0,0.0,3,1970.0,1947.0,1970.0,7.0,4.0,2.0,24000.0,5.0,,,1915,1,1,2,1917,1,1,2,2,1,4,2,3000.0,4,3,3,3,4,3,2,4,3,3,5,5,1,4,60,65,66,70,68.0,75,70,75,70
5650,3,2,6,16,32,2015/8/12 10:22,1,1974,1,1,1,3,,2.0,,5000,1,,300.0,0,1,0,0,0,0,0,0,0,,162,120,2,3,3,1,1.0,1,1,2,4,1,2,1,5,4,5,4,4,4,3,4,5,5,5,3,3,2,5.0,5.0,1,4,5,3,5,3,3,,,,,1,2,2,2,10000.0,4,3,2,2,0,1,0,0,0,0,0,0,0,,1,2,2.0,3,1997.0,1974.0,1997.0,3.0,1.0,1.0,5000.0,2.0,,,1950,3,1,5,1951,1,1,2,2,2,3,2,30000.0,4,4,4,4,5,4,3,3,3,3,3,4,2,4,90,80,90,90,90.0,80,80,90,90
2182,5,2,5,8,24,2015/8/5 9:44,2,1985,1,1,1,3,,4.0,2000.0,0,1,,60.0,0,0,1,0,0,0,0,0,0,,160,130,5,5,5,1,1.0,2,2,2,4,3,2,1,4,2,4,4,4,3,2,4,4,4,3,3,4,2,2.0,2.0,2,2,5,8,8,4,6,,,,,1,2,2,2,10000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,,1,0,1.0,3,2005.0,1985.0,2005.0,3.0,1.0,1.0,10000.0,3.0,,,-2,3,1,2,1962,3,1,15,2,2,4,-8,40000.0,2,2,2,2,3,2,2,3,3,-8,-8,-8,1,3,60,60,70,60,60.0,60,60,60,60
5787,4,1,11,29,52,2015/7/21 16:20,1,1985,1,1,1,12,,4.0,2008.0,60000,1,,80.0,0,0,0,0,0,0,0,0,1,,178,130,4,4,4,1,2.0,3,3,3,5,5,1,2,4,4,4,4,4,4,4,3,5,5,1,3,3,3,5.0,5.0,3,3,4,4,4,4,1,3.0,6.0,1.0,3.0,1,1,2,2,120000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,0,0,,3,2013.0,1985.0,2013.0,12.0,1.0,1.0,60000.0,1.0,3.0,1.0,1960,3,1,2,1960,3,1,2,2,1,4,2,100000.0,4,3,3,3,3,3,3,4,3,3,3,3,3,4,80,80,80,80,80.0,80,80,80,80
7899,5,1,19,57,93,2015/7/17 18:12,2,1974,1,1,1,6,,4.0,1990.0,50000,1,,103.0,0,1,1,0,0,0,0,0,0,,160,110,4,4,4,4,1.0,4,3,2,4,4,3,3,2,3,3,3,3,4,3,3,5,5,1,3,2,3,4.0,4.0,1,4,5,5,5,5,1,3.0,15.0,1.0,3.0,1,1,2,2,100000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,,0,1,1.0,3,1999.0,1973.0,1999.0,6.0,1.0,4.0,50000.0,1.0,3.0,1.0,1950,3,1,2,1950,3,1,2,2,1,4,2,100000.0,4,4,4,3,4,4,4,3,4,4,4,3,4,4,90,90,90,90,90.0,90,90,90,90
4797,3,1,12,33,62,2015/8/10 14:48,2,1956,1,1,1,1,,,,0,1,,50.0,0,1,0,0,0,0,0,0,0,,160,50,2,3,2,1,1.0,1,1,1,3,1,1,2,5,5,5,5,5,4,5,5,5,5,5,2,1,1,2.0,4.0,1,3,4,3,5,1,4,,,,,1,2,2,2,-2.0,1,2,1,2,0,1,0,0,0,0,0,0,0,,2,1,0.0,3,1978.0,1950.0,1978.0,1.0,1.0,1.0,-3.0,3.0,,,-2,1,1,2,-2,1,1,2,2,2,3,-8,-2.0,5,4,3,3,3,3,3,3,-8,-8,-8,-8,1,4,70,60,-2,60,-2.0,60,60,-2,-2
4450,4,1,7,18,38,2015/8/3 12:51,1,1993,1,1,1,12,,1.0,2012.0,0,2,,45.0,0,0,0,0,1,0,0,0,0,,178,210,4,5,3,5,1.0,2,3,1,2,5,2,4,3,4,1,4,4,3,2,2,5,5,1,2,3,4,7.0,1.0,2,3,5,8,8,8,6,,,,,1,2,1,2,42000.0,3,1,1,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1961,4,1,1,1963,6,1,1,3,2,3,-8,100000.0,3,3,-8,-8,4,-8,3,3,2,3,-8,4,2,3,95,80,60,80,50.0,75,10,90,95
5822,2,2,5,8,23,2015/8/2 13:10,1,1944,1,1,1,4,,4.0,1960.0,10440,1,,45.0,0,1,0,0,0,0,0,0,0,,169,79,2,2,2,1,2.0,1,1,4,4,1,1,2,2,2,5,5,5,4,4,1,4,4,5,2,2,1,4.0,6.0,2,2,3,3,2,2,5,,,,,1,2,2,2,13440.0,1,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,7,1977.0,,,,,,,,,,-2,1,1,2,-2,1,1,2,3,3,2,-8,2000.0,4,3,3,4,4,4,3,4,4,3,3,3,1,4,70,80,70,70,70.0,70,80,70,80
5401,4,1,1,1,3,2015/9/10 14:50,1,1959,1,1,1,5,,4.0,1982.0,26400,1,,39.9,0,0,1,0,0,0,0,0,0,,177,130,3,3,4,2,1.0,3,2,2,4,4,2,1,4,4,4,4,4,4,3,4,4,4,1,2,2,2,5.0,6.0,1,4,4,5,-8,-8,5,,,,,1,1,2,2,133200.0,3,3,2,2,0,1,0,0,0,0,0,0,0,,0,1,0.0,3,1990.0,1962.0,1990.0,6.0,1.0,2.0,34800.0,5.0,,,1932,1,1,1,1938,1,1,1,2,2,3,2,10000.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,60,60,60,60.0,60,60,60,60
2523,3,2,19,56,90,2015/7/16 19:07,1,1986,8,1,1,3,,4.0,-2.0,35000,1,,20.0,0,0,0,0,0,0,0,0,1,,164,140,4,5,5,5,1.0,1,1,3,5,2,1,1,5,3,5,5,4,4,2,5,5,5,3,3,2,1,4.0,4.0,1,2,5,5,6,5,1,3.0,2.0,1.0,3.0,1,1,2,2,35000.0,3,1,0,2,0,1,0,0,0,0,0,0,0,,1,1,2.0,3,2012.0,1992.0,2012.0,4.0,1.0,1.0,0.0,4.0,,,-2,3,1,2,-2,1,1,2,3,2,2,2,100000.0,4,3,4,4,3,3,2,2,2,-8,-8,-8,1,3,80,80,60,90,70.0,80,80,90,90
